Path,Serial,Firmware,ID,Size
Parkes --> blc30,85O8K912FSAATOSHIBA MD04ACA400 FP2A,FP2A,2,3.638 TB
Parkes --> blc30,85SAKA6UFSAATOSHIBA MD04ACA400 FP2A,FP2A,20,3.638 TB
Parkes --> blc30,85O1KA7SFSAATOSHIBA MD04ACA400 FP2A,FP2A,21,3.638 TB
Parkes --> blc30,85O3KMS0FSAATOSHIBA MD04ACA400 FP2A,FP2A,22,3.638 TB
Parkes --> blc30,85OBK4I3FSAATOSHIBA MD04ACA400 FP2A,FP2A,23,3.638 TB
Parkes --> blc30,85O7KDNZFSAATOSHIBA MD04ACA400 FP2A,FP2A,24,3.638 TB
Parkes --> blc30,85S1KAWIFSAATOSHIBA MD04ACA400 FP2A,FP2A,14,3.638 TB
Parkes --> blc30,85O8K915FSAATOSHIBA MD04ACA400 FP2A,FP2A,15,3.638 TB
Parkes --> blc30,85S9KBJ0FSAATOSHIBA MD04ACA400 FP2A,FP2A,16,3.638 TB
Parkes --> blc30,85S5K72EFSAATOSHIBA MD04ACA400 FP2A,FP2A,17,3.638 TB
Parkes --> blc30,9567KEWBFSAATOSHIBA MD04ACA400 FP2A,FP2A,18,3.638 TB
Parkes --> blc30,85O1KA7PFSAATOSHIBA MD04ACA400 FP2A,FP2A,25,3.638 TB
Parkes --> blc30,954AKAKPFSAATOSHIBA MD04ACA400 FP2A,FP2A,13,3.638 TB
Parkes --> blc30,85O3KMRXFSAATOSHIBA MD04ACA400 FP2A,FP2A,12,3.638 TB
Parkes --> blc30,85O7KDP0FSAATOSHIBA MD04ACA400 FP2A,FP2A,11,3.638 TB
Parkes --> blc30,9532KQ23FSAATOSHIBA MD04ACA400 FP2A,FP2A,9,3.638 TB
Parkes --> blc30,85S6KKY5FSAATOSHIBA MD04ACA400 FP2A,FP2A,3,3.638 TB
Parkes --> blc30,85O7KDOXFSAATOSHIBA MD04ACA400 FP2A,FP2A,4,3.638 TB
Parkes --> blc30,954AKAKOFSAATOSHIBA MD04ACA400 FP2A,FP2A,5,3.638 TB
Parkes --> blc30,9563KNFFFSAATOSHIBA MD04ACA400 FP2A,FP2A,6,3.638 TB
Parkes --> blc30,9547KEPXFSBATOSHIBA MD04ACA400 FP2A,FP2A,7,3.638 TB
Parkes --> blc30,9556KL8IFSAATOSHIBA MD04ACA400 FP2A,FP2A,8,3.638 TB
